year,Atm,Nep,Min,Sed,Neptot,EntrEpi,EntrHyp,id
2002,-51.35568339617945,-32.532114656184014,294.1812564289482,220.22939235750985,481.87853413027403,-41.57638667980465,41.925726840372604,Trout
2003,195.9619830932748,140.23000787387224,-45.15007451623826,298.23647418042566,393.31640753805965,-61.531809121267955,146.45564870017836,Trout
2004,-13.727587223443722,453.5475647821929,-77.70732968178086,352.90448609104163,728.7447211914537,-68.21469722283574,77.94856892831162,Trout
2005,-79.58301478689741,346.73651256021003,36.55178741881588,312.64879260927614,695.937092588302,-64.20646717455676,71.19529801459605,Trout
2006,48.41700593472507,204.37747873549503,94.59069514598158,327.84372961473434,626.811903496211,-35.064737373406295,76.72579877548108,Trout
2007,-165.25408093546224,295.1190299544935,150.43385855236568,294.44284433497603,739.9957328418352,-49.5039902408822,60.23593141674923,Trout
2008,19.33631517183749,174.4186084041774,108.55774885850856,296.3285324195192,579.3048896822052,-44.40308412694497,65.33829376606862,Trout
2009,-40.90346966752691,249.42638657302496,138.72854788970446,332.5126840260077,720.6676184887372,-51.78696328324932,55.32886554233304,Trout
2010,-11.579410757891909,191.96482298529364,139.97641916450047,339.1360736312855,671.0773157810796,-63.58370154325857,46.537627827234196,Trout
2011,218.55644117906323,19.348193811026746,84.40926356412517,318.2997520007766,422.05720937592855,-63.74407840550546,78.35795628157528,Trout
2012,222.7702356787109,-8.95518822660607,130.68678657192513,344.3768513502352,466.10844969555427,-63.81277396238669,68.32825812335845,Trout
2013,55.44933949591214,175.82208777775747,118.48586884089123,351.19763557182495,645.5055921904736,-35.6761723927495,41.04193363982245,Trout
2014,70.5772056260077,72.88335978195919,166.74951825667102,311.4288621807723,551.0617402194025,-53.32322650707165,53.619666208301084,Trout
2015,205.63929321768515,32.003093845148435,42.247723252546955,275.7679566913225,350.0187737890179,-79.36645862151627,87.27995878103421,Trout
2016,-17.457444252485125,183.8264441172883,145.21481553364987,312.1250204906341,641.1662801415723,-51.4045386056764,48.08601952818798,Trout
2017,144.9941277173296,95.3252805377537,42.817966956019205,277.0426483275672,415.18589582134007,-64.32467864906248,70.887066889175685,Trout
2018,44.63282704062989,160.63749083934715,88.4932200793025,287.19747859767455,536.3281895163242,-51.79722526205394,72.42791875924691,Trout
2019,128.41360537998972,55.55045052385303,68.5932462838814,302.41713051454457,426.560827322279,-52.892164295722566,65.83446932326493,Trout
